"IL_SMILES","Experiment_value","IL_to_nucleicacid_massratio","IL_molratio","HL_molratio","CHL_molratio","PEG_molratio","Dose_ug_nucleicacid","HL_name","CHL_name","PEG_name","Aqueous_buffer","Dialysis_buffer","Mixing_method","Model_type","Model_target","Route_of_administration","Cargo","Cargo_type","Experiment_batching","LNP_ID","Experiment_ID","IL_name","IL_head_name"
"CCCCC(CC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CC)CCCC)CCc1c[nH]c2ccccc12",-2.188190426,13.1279111,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009058","ZC_2023","2A5-SCC-EH","2A5"
"CCCCCC(CCC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCC)CCCCC)CCc1c[nH]c2ccccc12",-1.175139303,13.61131439,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009059","ZC_2023","2A5-SCC-PH","2A5"
"CCCCCCC(CCCC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCCC)CCCCCC)CCc1c[nH]c2ccccc12",-1.175139303,14.07763308,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009060","ZC_2023","2A5-SCC-BO","2A5"
"CCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCC)CCC(=O)OCCSSCCOC(=O)C(C)CSCCCC",0.850962943,15.18011551,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009061","ZC_2023","3A1-SCC-4","3A1"
"CCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCC)CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCC",0.850962943,16.37908501,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009062","ZC_2023","3A1-SCC-8","3A1"
"CCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCC)CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCC",0.850962943,16.93615542,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009063","ZC_2023","3A1-SCC-10","3A1"
"CCCCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCCCC)CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCCCC",0.850962943,17.46755558,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009064","ZC_2023","3A1-SCC-12","3A1"
"CCCCCCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCCCCCC)CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCCCCCC",0.850962943,17.97501989,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009065","ZC_2023","3A1-SCC-14","3A1"
"CCCCC(CC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CC)CCCC)CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CC)CCCC",0.850962943,16.37908501,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009066","ZC_2023","3A1-SCC-EH","3A1"
"CCCCCC(CCC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCC)CCCCC)CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCC)CCCCC",0.850962943,16.93615542,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009067","ZC_2023","3A1-SCC-PH","3A1"
"CCCCCCC(CCCC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCCN(C)C)CCCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCCC)CCCCCC)CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCCC)CCCCCC",0.850962943,17.46755558,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009068","ZC_2023","3A1-SCC-BO","3A1"
