"IL_SMILES","Experiment_value"
"CCCCCCC1(CCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN(CC)CC",-0.400341463
"CCCCCCC1(CCCCCC)C=NC(C)(C(=O)OC(C)(C)C)N1CCN(CC)CC",-0.93426936
"CCCCCCC1(CCCCCC)C=NC(CC(=O)OCC)N1CCN(CC)CC",0.344650143
"CCCCCCC(CCCCCC)(NCCN(CC)CC)C(=O)NCS(=O)(=O)c1ccc(C)cc1",-0.002697876
"CCCCCCC(CCCCCC)(NCCN(CC)CC)C(=O)NC1CCCCC1",-0.839377282
"CCN(CC)CCNC1(C(=O)NC(C)(C)C)CCCCCCCCCCCCCC1",1.050534513
"CCCCNC(=O)C1(NCCN(CC)CC)CCCCCCCCCCCCCC1",-1.312093408
"CCCCCNC(=O)C1(NCCN(CC)CC)CCCCCCCCCCCCCC1",-0.387124484
"CCN(CC)CCN1C(C(=O)OC)N=CC12CCCCCCCCCCCCCC2",0.712483038
"CCOC(=O)C1N=CC2(CCCCCCCCCCCCCC2)N1CCN(CC)CC",0.167355044
"CCN(CC)CCN1C(C(=O)OC(C)(C)C)N=CC12CCCCCCCCCCCCCC2",-0.731289507
"CCN(CC)CCN1C2(C=NC1(C)C(=O)OC(C)(C)C)CCCCCCCCCCCCCC2",-1.176822153
"CCOC(=O)CC1N=CC2(CCCCCCCCCCCCCC2)N1CCN(CC)CC",0.67511562
"CCN(CC)CCNC1(C(=O)NCS(=O)(=O)c2ccc(C)cc2)CCCCCCCCCCCCCC1",-0.803142312
"CCN(CC)CCNC1(C(=O)NC2CCCCC2)CCCCCCCCCCCCCC1",-0.126315635
"CCN(CC)CCNC1(C(=O)NC(C)(C)C)CCCCCCCCCCC1",0.014302889
"CCCCNC(=O)C1(NCCN(CC)CC)CCCCCCCCCCC1",-0.798002521
"CCCCCNC(=O)C1(NCCN(CC)CC)CCCCCCCCCCC1",-0.636212968
"CCN(CC)CCN1C(C(=O)OC)N=CC12CCCCCCCCCCC2",-1.336029502
"CCOC(=O)C1N=CC2(CCCCCCCCCCC2)N1CCN(CC)CC",-0.540521688
"CCN(CC)CCN1C(C(=O)OC(C)(C)C)N=CC12CCCCCCCCCCC2",0.584189388
"CCN(CC)CCN1C2(C=NC1(C)C(=O)OC(C)(C)C)CCCCCCCCCCC2",0.141484998
"CCOC(=O)CC1N=CC2(CCCCCCCCCCC2)N1CCN(CC)CC",-0.414706718
"CCN(CC)CCNC1(C(=O)NCS(=O)(=O)c2ccc(C)cc2)CCCCCCCCCCC1",-1.157246598
"CCN(CC)CCNC1(C(=O)NC2CCCCC2)CCCCCCCCCCC1",-0.817503415
"CCCCCC(CCCCC)(NCCN(CC)CC)C(=O)NC(C)(C)C",-1.305564973
"CCCCCC(CCCCC)(NCCN(CC)CC)C(=O)NCCCC",-1.354028833
"CCCCCNC(=O)C(CCCCC)(CCCCC)NCCN(CC)CC",-1.31045235
"CCCCCC1(CCCCC)C=NC(C(=O)OC)N1CCN(CC)CC",-0.558542709
"CCCCCC1(CCCCC)C=NC(C(=O)OCC)N1CCN(CC)CC",-0.924077082
"CCCCCC1(CCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN(CC)CC",-1.048791436
"CCCCCC1(CCCCC)C=NC(C)(C(=O)OC(C)(C)C)N1CCN(CC)CC",0.109480064
"CCCCCC1(CCCCC)C=NC(CC(=O)OCC)N1CCN(CC)CC",-0.387124484
"CCCCCC(CCCCC)(NCCN(CC)CC)C(=O)NCS(=O)(=O)c1ccc(C)cc1",-0.805556452
"CCCCCC(CCCCC)(NCCN(CC)CC)C(=O)NC1CCCCC1",-1.322322239
"CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(NCCCN1CCCC1)C(=O)NC(C)(C)C",2.903139486
"CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(NCCCN1CCCC1)C(=O)NCCCC",0.843706996
"CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(NCCCN1CCCC1)C(=O)NCCCCC",0.537315608
"CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC)N1CCCN1CCCC1",3.552371007
"CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C)(C(=O)OC(C)(C)C)N1CCCN1CCCC1",2.621275799
"CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(CC(=O)OCC)N1CCCN1CCCC1",0.410494115
"CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(NCCCN1CCCC1)C(=O)NC1CCCCC1",0.377170285
"CCCCCCCCCCC(CCCCCCCCCC)(NCCCN1CCCC1)C(=O)NC(C)(C)C",0.34247535
"CCCCCCCCCCC(CCCCCCCCCC)(NCCCN1CCCC1)C(=O)NCCCC",0.514657843
"CCCCCCCCCCC(CCCCCCCCCC)(NCCCN1CCCC1)C(=O)NCCCCC",0.960922359
"CCCCCCCCCCC1(CCCCCCCCCC)C=NC(C(=O)OC)N1CCCN1CCCC1",2.121265631
"CCCCCCCCCCC1(CCCCCCCCCC)C=NC(C(=O)OCC)N1CCCN1CCCC1",2.092888747
"CCCCCCCCCCC1(CCCCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCCN1CCCC1",2.268611049
